date,pm25,pm10,o3,no2,so2,co,dd,mm,yy
2016-03-21,109.0,124.0,8.0,2.0,1.0,7.0,21,3,2016
2016-03-22,145.0,88.0,19.0,2.0,1.0,8.0,22,3,2016
2016-03-23,129.0,116.0,11.0,2.0,1.0,6.0,23,3,2016
2016-03-24,105.0,84.0,8.0,2.0,1.0,5.0,24,3,2016
2016-03-25,98.0,102.0,5.0,3.0,2.0,4.0,25,3,2016
2016-03-26,97.0,95.0,5.0,3.0,2.0,4.0,26,3,2016
2016-03-27,106.0,83.0,6.0,3.0,3.0,6.0,27,3,2016
2016-03-28,116.0,89.0,6.0,3.0,2.0,5.0,28,3,2016
2016-03-29,109.0,71.0,6.0,3.0,2.0,5.0,29,3,2016
2016-03-30,99.0,62.0,6.0,3.0,2.0,5.0,30,3,2016
2016-03-31,79.0,49.0,5.0,3.0,2.0,4.0,31,3,2016
2016-04-01,65.0,49.0,5.0,3.0,2.0,3.0,1,4,2016
2016-04-02,60.0,59.0,5.0,3.0,2.0,3.0,2,4,2016
2016-04-03,81.0,62.0,5.0,3.0,2.0,4.0,3,4,2016
2016-04-04,82.0,67.0,5.0,3.0,2.0,4.0,4,4,2016
2016-04-05,67.0,50.0,5.0,3.0,3.0,4.0,5,4,2016
2016-04-06,64.0,50.0,7.0,3.0,3.0,3.0,6,4,2016
2016-04-07,64.0,62.0,12.0,4.0,3.0,4.0,7,4,2016
2016-04-08,87.0,55.0,13.0,4.0,3.0,4.0,8,4,2016
2016-04-09,85.0,65.0,6.0,4.0,3.0,5.0,9,4,2016
2016-04-10,90.0,67.0,8.0,4.0,3.0,5.0,10,4,2016
2016-04-11,99.0,62.0,6.0,4.0,3.0,5.0,11,4,2016
2016-04-12,80.0,57.0,6.0,4.0,3.0,5.0,12,4,2016
2016-04-13,86.0,67.0,6.0,4.0,3.0,6.0,13,4,2016
2016-04-14,102.0,61.0,5.0,4.0,3.0,6.0,14,4,2016
2016-04-15,93.0,58.0,5.0,4.0,3.0,6.0,15,4,2016
2016-04-16,85.0,60.0,5.0,4.0,3.0,7.0,16,4,2016
2016-04-17,86.0,57.0,6.0,4.0,4.0,7.0,17,4,2016
2016-04-18,84.0,65.0,6.0,4.0,3.0,8.0,18,4,2016
2016-04-19,93.0,76.0,6.0,4.0,3.0,7.0,19,4,2016
2016-04-20,92.0,58.0,6.0,4.0,3.0,2.0,20,4,2016
2016-04-21,75.0,46.0,8.0,4.0,3.0,2.0,21,4,2016
2016-04-22,54.0,46.0,7.0,4.0,4.0,2.0,22,4,2016
2016-04-23,71.0,55.0,6.0,4.0,4.0,2.0,23,4,2016
2016-04-24,92.0,51.0,6.0,5.0,4.0,2.0,24,4,2016
2016-04-25,67.0,52.0,7.0,5.0,5.0,3.0,25,4,2016
2016-04-26,73.0,54.0,13.0,5.0,5.0,4.0,26,4,2016
2016-04-27,90.0,58.0,8.0,5.0,5.0,4.0,27,4,2016
2016-04-28,84.0,57.0,7.0,5.0,4.0,3.0,28,4,2016
2016-04-29,79.0,63.0,5.0,6.0,5.0,4.0,29,4,2016
2016-04-30,72.0,51.0,5.0,5.0,5.0,4.0,30,4,2016
2016-05-01,84.0,85.0,5.0,5.0,5.0,3.0,1,5,2016
2016-05-02,61.0,55.0,6.0,5.0,5.0,4.0,2,5,2016
2016-05-03,81.0,58.0,5.0,5.0,5.0,3.0,3,5,2016
2016-05-04,76.0,43.0,5.0,6.0,5.0,4.0,4,5,2016
2016-05-05,58.0,46.0,12.0,6.0,5.0,4.0,5,5,2016
2016-05-06,74.0,53.0,6.0,6.0,5.0,4.0,6,5,2016
2016-05-07,73.0,50.0,11.0,5.0,5.0,2.0,7,5,2016
2016-05-08,110.0,48.0,5.0,6.0,5.0,3.0,8,5,2016
2016-05-09,60.0,50.0,6.0,6.0,5.0,3.0,9,5,2016
2016-05-10,76.0,43.0,6.0,4.0,4.0,3.0,10,5,2016
2016-05-11,75.0,44.0,5.0,1.0,2.0,3.0,11,5,2016
2016-05-12,63.0,64.0,6.0,2.0,1.0,5.0,12,5,2016
2016-05-13,81.0,59.0,8.0,2.0,1.0,5.0,13,5,2016
2016-05-14,71.0,51.5,7.0,2.0,1.0,1.0,14,5,2016
2016-05-15,120.0,71.0,5.0,2.0,1.0,7.0,15,5,2016
2016-05-16,85.0,59.0,7.0,2.0,1.0,6.0,16,5,2016
2016-05-17,79.0,60.0,7.0,2.0,1.0,5.0,17,5,2016
