date,pm25,pm10,o3,no2,so2,co,dd,mm,yy
2018-04-11,130.0,134.0,34.0,15.0,7.0,9.0,11,4,2018
2018-04-12,132.0,146.0,35.0,15.0,9.0,8.0,12,4,2018
2018-04-13,142.0,216.0,33.0,16.0,9.0,8.0,13,4,2018
2018-04-14,164.0,227.0,45.0,19.0,14.0,9.0,14,4,2018
2018-04-15,170.0,373.0,37.0,19.0,17.0,11.0,15,4,2018
2018-04-16,183.0,249.0,18.0,17.0,9.0,8.0,16,4,2018
2018-04-17,163.0,180.0,28.0,11.0,6.0,4.0,17,4,2018
2018-04-18,146.0,219.0,35.0,14.0,12.0,6.0,18,4,2018
2018-04-19,188.0,427.0,15.0,15.0,18.0,5.0,19,4,2018
2018-04-20,218.0,420.0,26.0,9.0,7.0,3.0,20,4,2018
2018-04-21,196.0,152.0,29.0,10.0,13.0,3.0,21,4,2018
2018-04-22,147.0,191.0,44.0,12.0,6.0,5.0,22,4,2018
2018-04-23,150.0,258.0,50.0,17.0,15.0,8.0,23,4,2018
2018-04-24,170.0,463.0,36.0,20.0,23.0,15.0,24,4,2018
2018-04-25,187.0,453.0,74.0,16.0,16.0,13.0,25,4,2018
2018-04-26,187.0,447.0,50.0,13.0,11.0,7.0,26,4,2018
2018-04-27,177.0,412.0,42.0,14.0,12.0,5.0,27,4,2018
2018-04-28,178.0,270.0,69.0,17.0,11.0,6.0,28,4,2018
2018-04-29,182.0,248.0,74.0,17.0,14.0,6.0,29,4,2018
2018-04-30,182.0,188.0,45.0,9.0,5.0,4.0,30,4,2018
2018-05-01,163.0,227.0,39.0,7.0,5.0,5.0,1,5,2018
2018-05-02,181.0,178.0,20.0,9.0,11.0,4.0,2,5,2018
2018-05-03,150.0,131.0,35.0,10.0,9.0,5.0,3,5,2018
2018-05-04,143.0,180.0,77.0,14.0,10.0,7.0,4,5,2018
2018-05-05,167.0,357.0,40.0,14.0,12.0,10.0,5,5,2018
2018-05-06,197.0,268.0,72.0,14.0,12.0,9.0,6,5,2018
2018-05-07,183.0,164.0,34.0,8.0,5.0,2.0,7,5,2018
2018-05-08,149.0,134.0,53.0,11.0,8.0,5.0,8,5,2018
2018-05-09,146.0,160.0,65.0,16.0,12.0,7.0,9,5,2018
2018-05-10,164.0,416.0,63.0,22.0,23.0,13.0,10,5,2018
2018-05-11,214.0,410.0,78.0,21.0,15.0,17.0,11,5,2018
2018-05-12,216.0,218.0,25.0,16.0,10.0,7.0,12,5,2018
2018-05-13,176.0,131.0,36.0,20.0,9.0,6.0,13,5,2018
2018-05-14,140.0,161.0,41.0,28.0,10.0,8.0,14,5,2018
2018-05-15,165.0,160.0,40.0,16.0,8.0,6.0,15,5,2018
2018-05-16,166.0,220.0,51.0,18.0,10.0,6.0,16,5,2018
2018-05-17,183.0,135.0,39.0,17.0,6.0,8.0,17,5,2018
2018-05-18,162.0,247.0,51.0,57.0,28.0,15.0,18,5,2018
2018-05-19,190.0,150.0,36.0,41.0,27.0,9.0,19,5,2018
2018-05-20,167.0,153.0,28.0,36.0,21.0,7.0,20,5,2018
2018-05-21,163.0,180.0,52.0,44.0,26.0,11.0,21,5,2018
2018-05-22,174.0,235.0,56.0,47.0,30.0,15.0,22,5,2018
2018-05-23,200.0,187.0,38.0,38.0,27.0,11.0,23,5,2018
2018-05-24,186.0,169.0,46.0,44.0,30.0,10.0,24,5,2018
2018-05-25,164.0,230.0,47.0,55.0,36.0,13.0,25,5,2018
2018-05-26,184.0,268.0,31.0,57.0,40.0,10.0,26,5,2018
