date,pm25,pm10,o3,no2,so2,co,dd,mm,yy
2018-02-03,101.0,69.0,44.0,17.0,3.0,8.0,3,2,2018
2018-02-04,93.0,73.0,42.0,21.0,2.0,8.0,4,2,2018
2018-02-05,96.0,71.0,32.0,29.0,2.0,9.0,5,2,2018
2018-02-06,107.0,89.0,37.0,44.0,4.0,10.0,6,2,2018
2018-02-07,129.0,72.0,32.0,34.0,2.0,10.0,7,2,2018
2018-02-08,105.0,78.0,24.0,30.0,4.0,9.0,8,2,2018
2018-02-09,140.0,76.0,31.0,22.0,2.0,8.0,9,2,2018
2018-02-10,122.0,66.0,28.0,18.0,1.0,6.0,10,2,2018
2018-02-11,158.0,64.0,26.0,11.0,2.5,5.0,11,2,2018
2018-02-12,134.0,63.0,31.0,15.0,2.5,6.0,12,2,2018
2018-02-13,116.0,68.0,34.0,18.0,1.0,8.0,13,2,2018
2018-02-14,125.0,82.0,34.0,29.0,5.0,10.0,14,2,2018
2018-02-15,131.0,72.0,34.0,25.0,8.0,7.0,15,2,2018
2018-02-16,116.0,82.0,38.0,31.0,9.0,9.0,16,2,2018
2018-02-17,117.0,89.0,50.0,37.0,3.0,11.0,17,2,2018
2018-02-18,131.0,73.0,45.0,20.0,2.0,7.0,18,2,2018
2018-02-19,112.0,72.0,40.0,20.0,2.0,7.0,19,2,2018
2018-02-20,116.0,76.0,41.0,20.0,2.0,7.0,20,2,2018
2018-02-21,127.0,87.0,41.0,26.0,3.0,9.0,21,2,2018
2018-02-22,137.0,85.0,37.0,30.0,2.0,9.0,22,2,2018
2018-02-23,126.0,77.0,34.0,23.0,1.0,7.0,23,2,2018
2018-02-24,108.0,57.0,32.0,20.0,2.0,4.0,24,2,2018
2018-02-25,68.0,74.0,43.0,36.0,2.0,9.0,25,2,2018
2018-02-26,109.0,77.0,43.0,40.0,4.0,11.0,26,2,2018
2018-02-27,110.0,84.0,44.0,38.0,3.0,11.0,27,2,2018
2018-02-28,136.0,84.0,32.0,34.0,3.0,10.0,28,2,2018
2018-03-01,126.0,74.5,42.0,21.0,3.0,8.0,1,3,2018
2018-03-02,118.5,71.0,48.0,21.0,3.0,8.0,2,3,2018
2018-03-03,110.0,76.0,49.0,24.0,3.0,8.0,3,3,2018
2018-03-04,124.0,72.0,45.0,20.0,4.0,10.0,4,3,2018
2018-03-05,106.0,71.0,45.0,17.0,4.0,7.0,5,3,2018
2018-03-06,110.0,69.0,42.0,18.0,2.0,8.0,6,3,2018
2018-03-07,101.0,71.0,39.0,22.0,3.0,10.0,7,3,2018
2018-03-08,112.0,84.0,45.0,29.0,1.0,9.0,8,3,2018
2018-03-09,128.0,85.0,50.0,21.0,2.0,9.0,9,3,2018
2018-03-10,143.0,65.0,39.0,17.0,1.0,7.0,10,3,2018
2018-03-11,104.0,84.0,37.0,23.0,1.0,7.0,11,3,2018
2018-03-12,94.0,62.0,37.0,21.0,1.0,8.0,12,3,2018
2018-03-13,89.0,72.0,42.0,26.0,2.0,8.0,13,3,2018
2018-03-14,109.0,71.0,39.0,18.0,3.0,8.0,14,3,2018
2018-03-15,108.0,95.0,38.0,26.0,8.0,10.0,15,3,2018
2018-03-16,141.0,62.0,36.0,17.0,1.0,9.0,16,3,2018
2018-03-17,122.0,54.0,32.0,19.0,3.0,7.0,17,3,2018
2018-03-18,95.0,61.0,40.0,22.0,1.0,9.0,18,3,2018
2018-03-19,99.0,71.0,38.0,36.0,5.0,11.0,19,3,2018
2018-03-20,123.0,73.0,26.0,19.0,2.0,9.0,20,3,2018
2018-03-21,134.0,87.0,33.0,26.0,6.0,5.0,21,3,2018
2018-03-22,107.0,100.0,38.0,39.0,11.0,7.0,22,3,2018
2018-03-23,129.0,99.0,45.0,41.0,8.0,8.0,23,3,2018
2018-03-24,133.0,97.0,46.0,27.0,4.0,6.0,24,3,2018
2018-03-25,154.0,84.0,51.0,19.0,2.0,5.0,25,3,2018
2018-03-26,134.0,81.0,48.0,19.0,3.0,4.0,26,3,2018
2018-03-27,131.0,77.0,48.0,20.0,6.0,5.0,27,3,2018
2018-03-28,115.0,85.0,50.0,24.0,4.0,6.0,28,3,2018
2018-03-29,130.0,77.0,42.0,19.0,2.0,5.0,29,3,2018
2018-03-30,120.0,77.0,48.0,17.0,3.0,5.0,30,3,2018
2018-03-31,117.0,72.0,28.0,19.0,1.0,4.0,31,3,2018
2018-04-01,102.0,58.0,36.0,20.0,1.0,3.0,1,4,2018
2018-04-02,87.0,74.0,40.0,23.0,1.0,4.0,2,4,2018
2018-04-03,120.0,69.0,39.0,18.0,1.0,4.0,3,4,2018
2018-04-04,104.0,72.0,37.0,21.0,1.0,4.0,4,4,2018
2018-04-05,103.0,81.0,40.0,25.0,1.0,5.0,5,4,2018
2018-04-06,118.0,49.0,41.0,21.0,1.0,4.0,6,4,2018
2018-04-07,66.0,49.0,38.0,16.0,1.0,4.0,7,4,2018
2018-04-08,76.0,65.0,50.0,21.0,1.0,5.0,8,4,2018
2018-04-09,87.0,66.0,41.0,24.0,1.0,4.0,9,4,2018
2018-04-10,83.0,54.0,31.0,16.0,1.0,3.0,10,4,2018
2018-04-11,70.0,57.0,36.0,19.0,2.0,3.0,11,4,2018
2018-04-12,72.0,55.0,40.0,19.0,1.0,5.0,12,4,2018
2018-04-13,66.0,46.0,39.0,13.0,1.0,3.0,13,4,2018
2018-04-14,52.0,51.0,28.0,15.0,1.0,3.0,14,4,2018
2018-04-15,70.0,72.0,49.0,27.0,1.0,6.0,15,4,2018
2018-04-16,105.0,63.0,40.0,20.0,1.0,4.0,16,4,2018
2018-04-17,80.0,57.0,36.0,13.0,1.0,2.0,17,4,2018
2018-04-18,72.0,76.0,34.0,25.0,3.0,4.0,18,4,2018
2018-04-19,91.0,107.0,15.0,50.0,11.0,17.0,19,4,2018
2018-04-20,158.0,63.0,39.0,20.0,1.0,4.0,20,4,2018
2018-04-21,85.0,63.0,39.0,20.0,1.0,4.0,21,4,2018
2018-04-22,85.0,63.0,39.0,20.0,1.0,4.0,22,4,2018
2018-04-23,85.0,63.0,39.0,20.0,1.0,4.0,23,4,2018
2018-04-24,85.0,63.0,39.0,20.0,1.0,4.0,24,4,2018
2018-04-25,85.0,63.0,39.0,20.0,1.0,4.0,25,4,2018
2018-04-26,85.0,63.0,39.0,20.0,1.0,4.0,26,4,2018
2018-04-27,85.0,63.0,39.0,20.0,1.0,4.0,27,4,2018
2018-04-28,85.0,63.0,39.0,20.0,1.0,4.0,28,4,2018
2018-04-29,85.0,63.0,39.0,20.0,1.0,4.0,29,4,2018
2018-04-30,85.0,63.0,39.0,20.0,1.0,4.0,30,4,2018
2018-05-01,135.0,84.0,40.5,25.0,3.0,5.0,1,5,2018
2018-05-02,135.0,84.0,40.5,25.0,3.0,5.0,2,5,2018
2018-05-03,135.0,84.0,40.5,25.0,3.0,5.0,3,5,2018
2018-05-04,135.0,84.0,40.5,25.0,3.0,5.0,4,5,2018
2018-05-05,135.0,84.0,40.5,25.0,3.0,5.0,5,5,2018
2018-05-06,135.0,84.0,40.5,25.0,3.0,5.0,6,5,2018
2018-05-07,135.0,84.0,40.5,25.0,3.0,5.0,7,5,2018
2018-05-08,135.0,84.0,40.5,25.0,3.0,5.0,8,5,2018
2018-05-09,135.0,84.0,40.5,25.0,3.0,5.0,9,5,2018
2018-05-10,135.0,84.0,40.5,25.0,3.0,5.0,10,5,2018
2018-05-11,135.0,84.0,40.5,25.0,3.0,5.0,11,5,2018
2018-05-12,135.0,84.0,40.5,25.0,3.0,5.0,12,5,2018
2018-05-13,135.0,84.0,40.5,25.0,3.0,5.0,13,5,2018
2018-05-14,135.0,84.0,40.5,25.0,3.0,5.0,14,5,2018
2018-05-15,135.0,84.0,40.5,25.0,3.0,5.0,15,5,2018
2018-05-16,135.0,84.0,40.5,25.0,3.0,5.0,16,5,2018
2018-05-17,135.0,84.0,40.5,25.0,3.0,5.0,17,5,2018
2018-05-18,135.0,84.0,40.5,25.0,3.0,5.0,18,5,2018
2018-05-19,135.0,84.0,40.5,25.0,3.0,5.0,19,5,2018
2018-05-20,135.0,84.0,40.5,25.0,3.0,5.0,20,5,2018
2018-05-21,135.0,84.0,40.5,25.0,3.0,5.0,21,5,2018
2018-05-22,135.0,84.0,40.5,25.0,3.0,5.0,22,5,2018
2018-05-23,135.0,84.0,40.5,25.0,3.0,5.0,23,5,2018
2018-05-24,135.0,84.0,40.5,25.0,3.0,5.0,24,5,2018
2018-05-25,135.0,84.0,40.5,25.0,3.0,5.0,25,5,2018
2018-05-26,135.0,84.0,40.5,25.0,3.0,5.0,26,5,2018
2018-05-27,135.0,84.0,40.5,25.0,3.0,5.0,27,5,2018
2018-05-28,135.0,84.0,40.5,25.0,3.0,5.0,28,5,2018
2018-05-29,135.0,84.0,40.5,25.0,3.0,5.0,29,5,2018
2018-05-30,135.0,84.0,40.5,25.0,3.0,5.0,30,5,2018
2018-05-31,135.0,84.0,40.5,25.0,3.0,5.0,31,5,2018
2018-06-01,135.0,84.0,40.5,25.0,3.0,5.0,1,6,2018
2018-06-02,135.0,84.0,40.5,25.0,3.0,5.0,2,6,2018
2018-06-03,135.0,84.0,40.5,25.0,3.0,5.0,3,6,2018
2018-06-04,135.0,84.0,40.5,25.0,3.0,5.0,4,6,2018
2018-06-05,135.0,84.0,40.5,25.0,3.0,5.0,5,6,2018
2018-06-06,135.0,84.0,40.5,25.0,3.0,5.0,6,6,2018
2018-06-07,135.0,84.0,40.5,25.0,3.0,5.0,7,6,2018
2018-06-08,135.0,84.0,40.5,25.0,3.0,5.0,8,6,2018
2018-06-09,135.0,84.0,40.5,25.0,3.0,5.0,9,6,2018
2018-06-10,135.0,84.0,40.5,25.0,3.0,5.0,10,6,2018
2018-06-11,135.0,84.0,40.5,25.0,3.0,5.0,11,6,2018
2018-06-12,135.0,84.0,40.5,25.0,3.0,5.0,12,6,2018
2018-06-13,135.0,84.0,40.5,25.0,3.0,5.0,13,6,2018
2018-06-14,135.0,84.0,40.5,25.0,3.0,5.0,14,6,2018
2018-06-15,135.0,84.0,40.5,25.0,3.0,5.0,15,6,2018
2018-06-16,135.0,84.0,40.5,25.0,3.0,5.0,16,6,2018
