date,pm25,o3,no2,so2,co,dd,mm,yy
2015-08-14,111.0,1.0,4.0,5.0,9.0,14,8,2015
2015-08-15,88.0,1.0,5.0,6.0,10.0,15,8,2015
2015-08-16,94.0,1.0,4.0,2.0,13.0,16,8,2015
2015-08-17,121.0,1.0,5.0,5.0,11.0,17,8,2015
2015-08-18,112.0,2.0,6.0,5.0,13.0,18,8,2015
2015-08-19,134.0,1.0,4.0,5.0,12.5,19,8,2015
2015-08-20,121.0,1.0,4.0,5.0,12.5,20,8,2015
2015-08-21,121.0,1.0,4.0,5.0,12.5,21,8,2015
2015-08-22,121.0,1.0,4.0,5.0,12.5,22,8,2015
2015-08-23,121.0,1.0,4.0,5.0,12.5,23,8,2015
2015-08-24,121.0,1.0,4.0,5.0,12.5,24,8,2015
2015-08-25,121.0,1.0,4.0,5.0,12.5,25,8,2015
2015-08-26,121.0,1.0,4.0,5.0,12.5,26,8,2015
2015-08-27,121.0,1.0,4.0,5.0,12.5,27,8,2015
2015-08-28,121.0,1.0,4.0,5.0,12.5,28,8,2015
2015-08-29,121.0,1.0,4.0,5.0,12.5,29,8,2015
2015-08-30,121.0,1.0,4.0,5.0,12.5,30,8,2015
2015-08-31,121.0,1.0,4.0,5.0,12.5,31,8,2015
2015-09-01,149.5,17.0,4.5,5.0,12.5,1,9,2015
2015-09-02,149.5,17.0,4.5,5.0,12.5,2,9,2015
2015-09-03,149.5,17.0,4.5,5.0,12.5,3,9,2015
2015-09-04,149.5,17.0,4.5,5.0,12.5,4,9,2015
2015-09-05,149.5,17.0,4.5,5.0,12.5,5,9,2015
2015-09-06,149.5,17.0,4.5,5.0,12.5,6,9,2015
2015-09-07,149.5,17.0,4.5,5.0,12.5,7,9,2015
2015-09-08,149.5,17.0,4.5,5.0,12.5,8,9,2015
2015-09-09,149.5,17.0,4.5,5.0,12.5,9,9,2015
2015-09-10,149.5,17.0,4.5,5.0,12.5,10,9,2015
2015-09-11,149.5,17.0,4.5,5.0,12.5,11,9,2015
2015-09-12,149.5,17.0,4.5,5.0,12.5,12,9,2015
2015-09-13,149.5,17.0,4.5,5.0,12.5,13,9,2015
2015-09-14,149.5,17.0,4.5,5.0,12.5,14,9,2015
2015-09-15,149.5,17.0,4.5,5.0,12.5,15,9,2015
2015-09-16,149.5,17.0,4.5,5.0,12.5,16,9,2015
2015-09-17,149.5,17.0,4.5,5.0,12.5,17,9,2015
2015-09-18,149.5,17.0,4.5,5.0,12.5,18,9,2015
2015-09-19,149.5,17.0,4.5,5.0,12.5,19,9,2015
2015-09-20,149.5,17.0,4.5,5.0,12.5,20,9,2015
2015-09-21,149.5,17.0,4.5,5.0,12.5,21,9,2015
2015-09-22,149.5,17.0,4.5,5.0,12.5,22,9,2015
2015-09-23,149.5,17.0,4.5,5.0,12.5,23,9,2015
2015-09-24,149.5,17.0,4.5,5.0,12.5,24,9,2015
2015-09-25,149.5,17.0,4.5,5.0,12.5,25,9,2015
2015-09-26,149.5,17.0,4.5,5.0,12.5,26,9,2015
2015-09-27,149.5,17.0,4.5,5.0,12.5,27,9,2015
