date, pm25, pm10, o3, no2, co
29-09-20,38,37,34,33,51
28-09-20,38,36,30,34,51
27-09-20,30,39,34,37,51
26-09-20,25,32,34,36, 
25-09-20,30,27,30,34, 
24-09-20,23,27,42,37, 
23-09-20,23,22,42,35, 
22-09-20,40,27,42,34, 
21-09-20,48,31,42,33, 
20-09-20,58,42,34, ,51
19-09-20,25,43,34, ,51
18-09-20,24,25,32, , 
17-09-20,26,25,34, ,51
16-09-20,25,26,34, ,51
15-09-20,24,27,34, ,51
14-09-20,25,25,32, ,51
13-09-20,24,27,32, , 
12-09-20,27,25,36, ,51
11-09-20,30,27,44, ,51
10-09-20,30,30,44, ,51
09-09-20,29,30,42, ,51
08-09-20,26,29,42, ,51
07-09-20,34,27,36, ,51
06-09-20,40,33,46, ,51
05-09-20,45,38,46, ,51
04-09-20,36,41,36, ,51
03-09-20,31,34,36, ,51
02-09-20,26,30,36, ,51
01-09-20,27,26,30, ,51
31-08-20,31,29,30, , 
30-08-20,28,31,44, , 
29-08-20,21,27,44, , 
28-08-20,23,22,40, ,51
27-08-20,27,23,26, , 
26-08-20,30,26,24, ,51
25-08-20,30,29,26, , 
24-08-20,23,29,26, , 
23-08-20,25,24,26, ,51
22-08-20,27,23,26, , 
21-08-20,26,24,26, , 
20-08-20,25,25,26, ,51
19-08-20,25,25,26, , 
18-08-20,23,25,26, , 
17-08-20,24,24,28, ,51
16-08-20,25,25,34, , 
15-08-20,22,25,34, , 
14-08-20,22,22,32, , 
13-08-20,23,23,32, , 
12-08-20,23,24,32, , 
11-08-20,23,24,30, , 
10-08-20,30,24,30, , 
09-08-20,28,30,32, , 
08-08-20,25,28,32, , 
07-08-20,24,26,32, , 
06-08-20,23,25,30, , 
05-08-20,23,24,29, , 
04-08-20,26,26,28, ,51
03-08-20,29,30,36, , 
02-08-20,27,30,36, ,51
01-08-20,28,21,28, , 
31-07-20,27,31,34, ,51
30-07-20,18,27,34, ,51
29-07-20,15,20,26, ,51
28-07-20,17,18,30, ,51
27-07-20,13,16,30, ,51
26-07-20,22,17,28, ,51
25-07-20,22,20,32, , 
24-07-20, ,23,32, ,51
23-07-20,45,17,28, , 
22-07-20,38,28,28, ,51
21-07-20,22,29,28, , 
20-07-20,22,22,28, , 
19-07-20, ,21,28, , 
18-07-20, ,21,28, , 
17-07-20, , ,34, , 
16-07-20, ,19,34, , 
15-07-20, ,17,30, , 
14-07-20,25,18,26, , 
13-07-20,27,23,24, ,51
12-07-20,23,27,26, ,51
11-07-20,24,22,26, , 
10-07-20,25,24,12, , 
09-07-20,26,26,12, , 
08-07-20,30,30,10, ,51
07-07-20, ,29,32, ,51
06-07-20,25,19,32, , 
05-07-20,23,25,32, , 
04-07-20,26,24,32,17,51
03-07-20,25,23,30,15,50
02-07-20,25,25, , , 
01-07-20,27,25,26,23,44
30-06-20,21,25,27,25,38
29-06-20,29,19,22,25,42
28-06-20,55,25,20,25,44
27-06-20,27,43,10,45,28
26-06-20,25,28,37, , 
25-06-20,47,21,10,24,33
24-06-20,47,41,9,41,22
23-06-20, ,45,12,41, 
16-05-20,51, , , , 
15-05-20,51,49,25, ,45
14-05-20,51,49,25, ,45
13-05-20,51,49,25, ,45
12-05-20,51,49,25, ,45
11-05-20,51,49,25, ,45
10-05-20,51,49,25, ,45
09-05-20,51,49,25, ,45
08-05-20,51,49,25, ,45
07-05-20,51,49,25, ,45
