date,pm25,pm10,o3,no2,so2,co
2016-06-13,61,22,6,1,1,8
2016-06-14,62,20,5,3,2,8
2016-06-15,59,29,6,3,2,7
2016-06-16,78,24,6,2,2,8
2016-06-17,69,30,7,3,2,8
2016-06-18,81,30,8,3,2,9
2016-06-19,81,29,11,3,2,10
2016-06-20,79,33,4,3,2,8
2016-06-21,88, , , , , 
2016-06-22,,,,,,
2016-06-23,,,,,,
2016-06-24,,,,,,
2016-06-25,,,,,,
2016-06-26,,,,,,
2016-06-27,,,,,,
2016-06-28,,,,,,
2016-06-29,,,,,,
2016-06-30, ,195, ,13,18, 
2016-07-01,322,32,9,15,16,3
2016-07-02,78,51,8,15,16,2
2016-07-03,115,55,14,22,20,4
2016-07-04,122,106,10,11,11,12
2016-07-05,165,65,6,7,6, 
2016-07-06,157,31,5,4,4,5
2016-07-07,83,33,5,4,3,5
2016-07-08,82,23,22,3,2,5
2016-07-09,66,15,1,2,2,5
2016-07-10,49,30,1,3,2, 
2016-07-11,81,23,1,3,2,5
2016-07-12,67,24,28,3,2,6
2016-07-13,67,25,4,3,2,7
2016-07-14,69,24,3,9,3,3
2016-07-15,66,22,4,3,4,3
2016-07-16,59,19,5,5,2,4
2016-07-17,54,16,6,6,3,3
2016-07-18,54, ,5,7,3,4
2016-07-19,55, ,5,5,2,3
2016-07-20,44, ,6,5,3,5
2016-07-21,56, ,6,6,4,4
2016-07-22,54, ,16,6,3,5
2016-07-23,60, ,16,7,4,6
2016-07-24,57, ,29,8,3,6
2016-07-25,61,37,59,1,4,9
2016-07-26,79,52,24,8,4,10
2016-07-27,79,45,21,15,5,11
2016-07-28,72,35,38,11,4,9
2016-07-29,64,39,41,7,3,5
2016-07-30,59,42,39,8,3,5
2016-07-31,52,36,49,10,3,5
2016-08-01,45,45,80,15,3,4
2016-08-02,41,47,54,12,3,4
2016-08-03,37,45,25,14,2,5
2016-08-04,43,61,32,10,3,6
2016-08-05,72,17,8,11,3,6
2016-08-06,39,23,8,10,3,7
2016-08-07,48,22,7,16,3,6
2016-08-08,47,30,4,12,3,2
2016-08-09,51,46,4,12,3,2
2016-08-10,40,44,4,11,3,3
2016-08-11,30,50,4,11,3,3
2016-08-12,42,51,4,11,3,3
2016-08-13,39,43,42,13,3,4
2016-08-14,28,50,4,9,3,4
2016-08-15,41,50,4,4,3,4
2016-08-16,43,44,4,2,3,5
2016-08-17,51,38,4,1,3,5
2016-08-18,53,52,4,4,3,5
2016-08-19,54,51,4,2,3,5
2016-08-20,45,51,4,1,3,2
2016-08-21,49,51,4,1,3,3
2016-08-22,64,37,7, ,4,3
2016-08-23,37,50,4, ,4,3
2016-08-24,65,53,17, ,4,4
2016-08-25,58,28,4, ,4,4
2016-08-26,32,29,4, ,4,7
2016-08-27,54,35,4,1,4,6
2016-08-28,51,44,10,1,4,6
2016-08-29,40,41,12,1,4,6
2016-08-30,39,37,14, ,4,6
2016-08-31,36,38,9, ,4,6
2016-09-01,39,38,7, ,4,5
2016-09-02,40,60,9, ,4,5
2016-09-03,60,61,4, ,4,4
2016-09-04,54,54,8, ,4,4
2016-09-05,47,52,4, ,4,4
2016-09-06,42,54,5, ,4,6
2016-09-07,45,52,5, ,4,3
2016-09-08,52,67,5, ,5,7
2016-09-09,74,66,5, ,5,7
2016-09-10,75,59,5, ,5,7
2016-09-11,75,54,5, ,5,4
2016-09-12,60,62,5, ,5,6
2016-09-13,70,49,5,1,5,4
2016-09-14,62,30,5, ,5,4
2016-09-15,45,39,5, ,5,5
2016-09-16,52,41,5, ,5,7
2016-09-17,72,27,6, ,5,4
2016-09-18,44,24,7, ,4,3
2016-09-19,50,22,5, ,4,4
2016-09-20,35,20,5, ,4,4
2016-09-21,34,28,5,17,7,4
2016-09-22,46,33,5,17,3,3
2016-09-23,44,37,6,18,3,5
2016-09-24,54,30,6,18,3,2
2016-09-25,50,35,7,17,2,4
2016-09-26,50,47,5,17,5,4
2016-09-27,46,42,5,18,3,2
2016-09-28,62,42,5,18,3,2
2016-09-29,65,55,5,18,4,5
2016-09-30,80,44,5,18,5,7
2016-10-01,58,41,3,18,5,11
2016-10-02,66,52,2,18,5,9
2016-10-03,67,35,2,17,5,5
2016-10-04,57,45,3,16,6,5
2016-10-05,76,60,3,16,10,8
2016-10-06,83,45,3,17,10,6
2016-10-07,56,49,4,17,11,5
2016-10-08,58,51,6,17,11,5
2016-10-09,58,43,8,17,12,3
2016-10-10,81,64,7,17,13,5
2016-10-11,86,68,8,17,11,4
2016-10-12,83,70,13,18,9,5
2016-10-13,79,84,17,18,8,6
2016-10-14,115,95,14,19,9,8
2016-10-15,138,91,13,18,4,4
2016-10-16,136,103,16,19,6,7
2016-10-17,153,111,18,19,4,9
2016-10-18,154,84,23,20,7,10
2016-10-19,106, ,23,19,8,13
2016-10-20,140, ,21,19,8,8
2016-10-21,128,100,16,19,7,6
2016-10-22,121, ,20,19,7,7
2016-10-23,137,118,9,19,7,5
2016-10-24,114,54,8,19,8,4
2016-10-25,88,80,19,19,8,6
2016-10-26,107, ,19,19,9,9
2016-10-27,144, ,25,19,10,9
2016-10-28,142, ,24,20,10,11
2016-10-29, ,104,18,20,10,13
2016-10-30,137,167,16,20,13,13
2016-10-31,169,119,19,20,18,13
2016-11-01,147,92,21,21,8,10
2016-11-02,135,86,26,20,5,10
2016-11-03,123,113,27,20,7,10
2016-11-04,125, ,24,20,7,10
2016-11-05,126, ,32,20,6,10
2016-11-06,114, ,23,20,7,13
2016-11-07,129, ,15,20,7,12
2016-11-08,113,116,23,20,7,10
2016-11-09,108,122,21,20,7,10
2016-11-10,117,138,14,19,8,15
2016-11-11,135,144,11,16,6,13
2016-11-12,126,133,17,16,6,11
2016-11-13,124,142,20,11,8,13
2016-11-14,142,158,15,1,6,12
2016-11-15,156, ,22,2,8,14
2016-11-16,154,169,17,2,8,14
2016-11-17,145, ,10,9,7,12
2016-11-18,110,169,18,8,7,13
2016-11-19,130,145,26,8,7,15
2016-11-20,67,144,10,8,7,11
2016-11-21,88, ,12,8,9,14
2016-11-22,74,124,13,8,9,13
2016-11-23,80,145,13,8,9,15
2016-11-24,86,101,15,8,7,11
2016-11-25,78,102,17,11,4,12
2016-11-26,79,169,18,8,6,20
2016-11-27,73,104,13,8,5,13
2016-11-28,63,145,19,8,7,15
2016-11-29,142,121,19,8,11,24
2016-11-30,146,140,15,8,9,19
2016-12-01,137,153,13,8,10,22
2016-12-02,122,122,11, ,8,12
2016-12-03,111,96,8,7,8,11
2016-12-04,85,108,10,8,7,12
2016-12-05,103,143,14,5,6,14
2016-12-06,118,121,11,2,5,14
2016-12-07,115,103,10,2,4,11
2016-12-08,116,122,21,2,3,9
2016-12-09,126,125,31,3,5,16
2016-12-10,125,110,23,3,4,12
2016-12-11,96,125,19, ,5,16
2016-12-12,117,121,41,3,5,18
2016-12-13,71,114,29,3,6,15
2016-12-14,68,101,21,4,6,16
2016-12-15,62,114,27,4,6,15
2016-12-16,78,106,30,4,6,14
2016-12-17,70,79,14,4,6,13
2016-12-18,37,111,27,3,16,13
2016-12-19,94,118,25,5,7,13
2016-12-20,157,123,35,5,7,18
2016-12-21,165,127,36,6,7,17
2016-12-22,167,139,30,6,7,19
2016-12-23,181,132,28,6,7,18
2016-12-24,169,141,17,6,7,20
2016-12-25,168,132,28,6,8,20
2016-12-26,165,141,21,6,8,25
2016-12-27,162,124,22,5,8,15
2016-12-28,160,141,27,5,8,19
2016-12-29,166,164,13,5,8,23
2016-12-30,180,192,20,5,7,30
2016-12-31,212,173,8,5,6,28
2017-01-01, ,147,33,5,6,19
2017-01-02,177,125,26,6,6,18
2017-01-03,153,130,43,6,6,18
2017-01-04,163,131,31,6,7,19
2017-01-05,163,105,26,6,7,13
2017-01-06,142,96,17,7,7,11
2017-01-07,129,83,15,8,7,12
2017-01-08,114,90,21,7,7,11
2017-01-09,125,97,30,7,12,13
2017-01-10,134,116,36,6,8,11
2017-01-11,162,107,27,6,6,10
2017-01-12,151,127,32,6,9,15
2017-01-13,153,115,19,7,9,13
2017-01-14,149,141,23,6,9,16
2017-01-15,166,84,26,6,8,9
2017-01-16,154,127,35,6,8,12
2017-01-17,151,119,44,7,9,11
2017-01-18,160,149,37,7,9,17
2017-01-19,199,143,41,7,9,16
2017-01-20,173,129,43,7,10,16
2017-01-21,169,121,50,7,10,15
2017-01-22,159,150,40,7,10,23
2017-01-23,160,132,87,7,10,17
2017-01-24,162,150,50,7,11,18
2017-01-25,172,144,39,7,11,16
2017-01-26,171,86,35,7,9,7
2017-01-27,126,97,32,7,10,13
2017-01-28,144,116,41,7,11,17
2017-01-29,156,132,41,7,11,19
2017-01-30,163,144,42,7,10,19
2017-01-31,173,126,61,8,10,15
2017-02-01,159,141,68,14,8,17
2017-02-02,173,153,9,17,12,29
2017-02-03,134,74,19,11,4,15
2017-02-04,106,76,22,10,4,12
2017-02-05,95,84,49,11,5,11
2017-02-06,99,111,46,14,7,9
2017-02-07,142,97,45,11,5,9
2017-02-08,142,111,49,12,6,9
2017-02-09,141,109,50,12,12,10
2017-02-10,145,75,33,14,7,9
2017-02-11,110,96,49,15,9,10
2017-02-12,134,145,52,17,11,16
2017-02-13,171,142,32,18,12,21
2017-02-14,147,129,49,18,12,16
2017-02-15,167,128,39,19,13,15
2017-02-16,163,118,52,18,12,13
2017-02-17,160,111,40,16,11,13
2017-02-18,150,127,72,21,15,19
2017-02-19,147,116,35,15,9,14
2017-02-20,129,73,14,12,6,4
2017-02-21,83,115,16,11,7,6
2017-02-22,93,89,33,12,8,8
2017-02-23,109,129,31,14,10,14
2017-02-24,155,126,30,14,10,14
2017-02-25,153,134,46,15,11,23
2017-02-26,141,152,50,16,12,23
2017-02-27,172,190,45,17,14,26
2017-02-28,196,132,46,15,12,15
2017-03-01,160,111,37,15,11,11
2017-03-02,130,85,33,13,8,7
2017-03-03,115,81,28,13,8,8
2017-03-04,117,77,34,13,8,7
2017-03-05,99,91,32,14,10,11
2017-03-06,127,89,27,13,9,7
2017-03-07,128,81,21,13,9,6
2017-03-08,104,72,10,13,9,6
2017-03-09,96,68,8,13,9,4
2017-03-10,97,78,17,14,11,6
2017-03-11,132,135,36,14,11,7
2017-03-12,153,174,38,20,17,21
2017-03-13,296,123,39,16,12,14
2017-03-14,160,117,32,12,13,13
2017-03-15,142,100,42,9,5,13
2017-03-16,135,82,27,9,4,8
2017-03-17,113,80,21,8,4,5
2017-03-18,112,54,12,11,4,4
2017-03-19,70,66,13,11,4,4
2017-03-20,95,73,20,11,5,4
2017-03-21,107,82,18,11,6,5
2017-03-22,114,82,23,12,6,6
2017-03-23,112,73,21,12,6,5
2017-03-24,103,77,27,12,7,6
2017-03-25,110,80,30,12,6,6
2017-03-26,105,102,36,11,7,8
2017-03-27,129,99,19,8,6,6
2017-03-28,125,96,12,10,6,5
2017-03-29,125,85,10,13,7,4
2017-03-30,109,81,20,14,7,6
2017-03-31,104,70,14,13,7,6
2017-04-01,94,60,13,13,7,5
2017-04-02,75,63,11,12,7,4
2017-04-03,81,54,7,8,6,3
2017-04-04,71,61,6,12,6,4
2017-04-05,78,60,10,9,6,4
2017-04-06,76,114,15,7,6,3
2017-04-07,103,126,36,9,7,6
2017-04-08,136,137,60,9,7,8
2017-04-09,139,123,37,9,7,11
2017-04-10,168,100,19,9,7,8
2017-04-11,140,83,29,7,10,8
2017-04-12,137,97,27,9,6,13
2017-04-13,143,73,20,8,5,7
2017-04-14,141,64,12,8,5,6
2017-04-15,137,55,18,8,6,9
2017-04-16,123,45,9,5,5,6
2017-04-17,84,61,16,6,5,4
2017-04-18,88,51,11,8,5,3
2017-04-19,71,50,10,9,5,3
2017-04-20,76,57,9,11,5,3
2017-04-21,96,59,8,9,5,5
2017-04-22,96,55,8,7,5,3
2017-04-23,73,60,9,7,5,3
2017-04-24,93,73,20,8,5,4
2017-04-25,109,88,12,11,5,4
2017-04-26,109,73,10,7,5,4
2017-04-27,97,65,10,7,5,5
2017-04-28,93,57,14,7,6,5
2017-04-29,111,45,13,6,6,5
2017-04-30,89,79,7,7,6,4
2017-05-01,103,63,10,9,6,5
2017-05-02,90,75,7,9,6,6
2017-05-03,99,61,7,9,6,5
